Metadata,DoomedEagle_2025-11-20_03-46-02,Fullchord_2025-11-20_03-46-29,Skunkworks23_2025-11-20_03-46-29,kaine__2025-11-20_03-46-02,BrainRot_2025-11-20_03-47-50,Twiggzy_2025-11-20_03-47-50,snow_Man_2025-11-20_03-51-45,Rikkitt_2025-11-20_03-51-45,romestamo_2025-11-20_03-59-22,radeone_2025-11-20_04-01-56,A_Magikarp_2025-11-20_04-04-17,KAustinn_2025-11-20_04-01-56
Build 40,Tidal Generator (285.9s),Wind Turbine (258.0s),Wind Turbine (216.6s),Wind Turbine (329.1s),Wind Turbine (198.5s),Wind Turbine (243.1s),Wind Turbine (225.3s),Mace (210.6s),Tidal Generator (223.5s),Construction Bot (252.9s),Wind Turbine (207.1s),Wind Turbine (363.9s)
Build 41,Tidal Generator (285.9s),Wind Turbine (258.0s),Wind Turbine (216.6s),Construction Bot (334.6s),Wind Turbine (198.5s),Wind Turbine (243.1s),Wind Turbine (225.3s),Mace (210.9s),Tidal Generator (223.5s),Centurion (259.0s),Energy Converter (233.7s),Wind Turbine (363.9s)
Build 42,Tidal Generator (285.9s),Wind Turbine (258.0s),Wind Turbine (216.6s),Wind Turbine (353.2s),Wind Turbine (198.5s),Wind Turbine (243.1s),Wind Turbine (225.3s),Mace (211.0s),Tidal Generator (223.5s),Energy Converter (283.1s),Energy Converter (236.5s),Wind Turbine (363.9s)
Build 43,Tidal Generator (285.9s),Wind Turbine (258.0s),Wind Turbine (216.6s),Wind Turbine (353.2s),Wind Turbine (198.5s),Wind Turbine (243.1s),Wind Turbine (225.3s),Mace (211.1s),Tidal Generator (223.5s),Energy Converter (283.1s),Construction Turret (251.8s),Wind Turbine (363.9s)
Build 44,Tidal Generator (285.9s),Wind Turbine (258.0s),Energy Converter (218.2s),Wind Turbine (353.2s),Wind Turbine (198.5s),Wind Turbine (243.1s),Wind Turbine (225.3s),Mace (211.4s),Tidal Generator (223.5s),Energy Converter (288.2s),Wind Turbine (279.0s),Wind Turbine (363.9s)
Build 45,Tidal Generator (285.9s),Wind Turbine (258.0s),Energy Converter (218.2s),Wind Turbine (353.2s),Wind Turbine (200.2s),Wind Turbine (243.1s),Wind Turbine (225.3s),Mace (211.5s),Tidal Generator (223.5s),Energy Converter (288.2s),Wind Turbine (279.0s),Pawn (370.0s)
Build 46,Tidal Generator (285.9s),Wind Turbine (258.0s),Wind Turbine (220.3s),Wind Turbine (353.2s),Wind Turbine (200.2s),Wind Turbine (243.1s),Wind Turbine (225.3s),Mace (211.9s),Tidal Generator (223.5s),Energy Converter (288.2s),Wind Turbine (279.0s),Pawn (370.5s)
Build 47,Tidal Generator (285.9s),Wind Turbine (258.0s),Wind Turbine (220.3s),Wind Turbine (353.2s),Wind Turbine (200.2s),Wind Turbine (243.1s),Energy Converter (232.4s),Mace (212.0s),Tidal Generator (223.5s),Energy Converter (288.2s),Wind Turbine (279.0s),Pawn (371.2s)
Build 48,Tidal Generator (285.9s),Wind Turbine (258.0s),Wind Turbine (220.3s),Centurion (368.8s),Wind Turbine (200.2s),Wind Turbine (243.1s),Wind Turbine (239.6s),Mace (212.2s),Tidal Generator (223.5s),Mace (300.2s),Wind Turbine (279.0s),Tidal Generator (400.4s)
Build 49,Tidal Generator (285.9s),Wind Turbine (258.0s),Wind Turbine (220.3s),Nettle (384.4s),Wind Turbine (200.2s),Wind Turbine (243.1s),Wind Turbine (239.6s),Mace (212.4s),Tidal Generator (223.5s),Energy Converter (306.2s),Wind Turbine (279.0s),Tidal Generator (400.4s)
Build 50,Tidal Generator (285.9s),Wind Turbine (258.0s),Wind Turbine (220.3s),Centurion (386.7s),Wind Turbine (200.2s),Wind Turbine (243.1s),Wind Turbine (239.6s),Mace (212.5s),Tidal Generator (223.5s),Wind Turbine (313.2s),Wind Turbine (279.0s),Tidal Generator (400.4s)
Build 51,Tidal Generator (285.9s),Wind Turbine (258.0s),Wind Turbine (220.3s),Radar Tower (395.4s),Wind Turbine (200.2s),Wind Turbine (243.1s),Wind Turbine (239.6s),Mace (212.7s),Tidal Generator (223.5s),Wind Turbine (313.2s),Wind Turbine (279.0s),Construction Bot (446.5s)
Build 52,Tidal Generator (285.9s),Wind Turbine (258.0s),Wind Turbine (220.3s),Wind Turbine (420.5s),Wind Turbine (200.2s),Wind Turbine (243.1s),Wind Turbine (239.6s),Mace (212.9s),Tidal Generator (223.5s),Wind Turbine (313.2s),Wind Turbine (279.0s),Construction Bot (481.1s)
Build 53,Wind Turbine (290.0s),Wind Turbine (258.0s),Wind Turbine (220.3s),Wind Turbine (420.5s),Wind Turbine (200.2s),Wind Turbine (243.1s),Wind Turbine (239.6s),Mace (213.1s),Tidal Generator (223.5s),Wind Turbine (313.2s),Wind Turbine (279.0s),Construction Turret (486.7s)
Build 54,Wind Turbine (290.0s),Wind Turbine (258.0s),Wind Turbine (220.3s),Wind Turbine (420.5s),Energy Converter (212.2s),Wind Turbine (243.1s),Wind Turbine (239.6s),Mace (213.3s),Tidal Generator (223.5s),Wind Turbine (313.2s),Wind Turbine (279.0s),Beamer (509.7s)
Build 55,Wind Turbine (290.0s),Wind Turbine (258.0s),Wind Turbine (220.3s),Wind Turbine (420.5s),Construction Turret (219.9s),Wind Turbine (243.1s),Wind Turbine (239.6s),Mace (213.4s),Tidal Generator (223.5s),Wind Turbine (313.2s),Wind Turbine (281.4s),Wind Turbine (517.9s)
Build 56,Wind Turbine (290.0s),Wind Turbine (258.0s),Wind Turbine (220.3s),Wind Turbine (420.5s),Wind Turbine (227.7s),Wind Turbine (243.1s),Wind Turbine (239.6s),Mace (213.6s),Tidal Generator (223.5s),Wind Turbine (313.2s),Wind Turbine (281.4s),Wind Turbine (517.9s)
